address,language,name,is_new,sai,Bytecode_n_sai,Bytecode_sai_coverage,Elipmoc_n_sai,Elipmoc_sai_coverage,SpecDescription_n_sai,SpecDescription_sai_coverage,Bytecode_correct,SpecDescription_correct,Elipmoc_correct,SpecDescription_diff,Reasons,Elipmoc_diff,Bytecode_diff
0x64d56f087d87cdaeac8119c69c48d0d440d560a7,Vyper,Vyper_contract,False,"{'SSTORE': 9, 'CALL': 1}",,-1.0,0.0,0.0,12.0,1.0,,1.0,0.0,,,,
0xce616a55dd45ec16c3db4151ea4cb7f8f30b999a,Solidity,NFTCollection,True,{'DELEGATECALL': 1},,-1.0,,-1.0,1.0,1.0,,1.0,0.0,minimal proxy,,"checksum,minimal proxy",
0xa83c2fa8e9f8e96a40f13e0129bf52ea316b6b25,Solidity,RocketMinipoolBase,True,{'DELEGATECALL': 1},,-1.0,,-1.0,1.0,1.0,,1.0,0.0,minimal proxy,(Reselect),"checksum,minimal proxy",
0x0e8eb5459194def55d88b0f992cc2e13794181dd,Solidity,Forwarder,True,{'DELEGATECALL': 1},1.0,0.0,,-1.0,1.0,1.0,0.0,1.0,0.0,minimal proxy,,"checksum,minimal proxy",flushTokens
0x7463c891a2b5b832f4a60dde07c8a3511a72d1b9,Solidity,UniswapV2Pair,True,"{'SSTORE': 41, 'CALL': 2, 'STATICCALL': 13}",6.0,0.073171,12.0,0.146341,20.0,0.307317,,,,,,,
0xa6a64a664b33d4832c9c99412f90cd2f28cae98f,Solidity,GnosisSafeProxy,True,{'DELEGATECALL': 1},2.0,0.0,1.0,1.0,,-1.0,,,1.0,,,,
0x14d0e43d19a964c875be50397528ee659bb20e40,Solidity,PEPEGROW,True,"{'SSTORE': 5, 'CALL': 1}",,-1.0,5.0,0.5,11.0,1.0,,0.0,0.0,transferFrom,(Descriptions Error) - Lack signatures,"addviperHolder,transfer,transferFrom",
0x3c2156807013969f7d564b6f5f7caf214ec9c001,Solidity,MEME,True,"{'SSTORE': 17, 'STATICCALL': 3, 'CALL': 5}",5.0,0.147059,6.0,0.176471,8.0,0.334559,,,,,,,
0x7b1eadc263871fbc8c4ed152e844a79fa08ccf81,Solidity,TitlesEditionV1,True,{'DELEGATECALL': 1},1.0,0.0,,-1.0,1.0,1.0,0.0,1.0,0.0,minimal proxy,,"checksum,minimal proxy",minimal proxy
0xd75fc946fb601ab28f3958ce1a29be9afae1acfd,Solidity,BNANA,True,"{'SSTORE': 6, 'STATICCALL': 1}",3.0,0.25,6.0,0.5,12.0,1.0,,0.0,,transfer-1,,,
0x8f90837968f9631ff79514dc1a264fb008f3802b,Solidity,DropERC1155,True,{'DELEGATECALL': 1},,-1.0,,-1.0,1.0,1.0,,1.0,0.0,minimal proxy,,"checksum,minimal proxy",
0x99f2bd643c5c96cfbddb69d4dfc5c0dec4551c33,Solidity,ERC721SeaDropCloneable,True,{'DELEGATECALL': 1},0.0,0.0,,-1.0,1.0,1.0,0.0,1.0,0.0,minimal proxy,,minimal proxy,minimal proxy
0x7cc551b23ded82fa4109c62b6cdc97592539de95,Solidity,TOKEN,True,"{'SSTORE': 5, 'CALL': 1}",6.0,0.5,4.0,0.4,11.0,1.0,0.0,1.0,0.0,transfer,(Reselect),addViperHolder,token correct
0x5bafed0caa396408b7650dc774a10cfb2a921399,Solidity,TransparentUpgradeableProxy,True,"{'DELEGATECALL': 2, 'SSTORE': 1}",6.0,0.5,4.0,1.0,7.0,1.0,,0.0,0.0,,,changeadmin-1,
0x407d5493b6cfe7484a436c2c0df8e9b2b84060bc,Solidity,Token,True,{'SSTORE': 7},6.0,0.857143,9.0,1.0,12.0,1.0,,0.0,0.0,ccvipaaaqqq,(Descriptions Errors) - Lack a condition,transfer,
0xb20773eea39798fcdbb2bc3d7a1b4a5cc7a92ddb,Solidity,LARP,True,"{'SSTORE': 24, 'CALL': 4, 'STATICCALL': 1}",6.0,0.125,,-1.0,14.0,0.291667,,,,,,,
0xb5bcb4386ae3565bb5ba0c16dac1670ff53f0960,Solidity,NiftyERC721Token,True,{'DELEGATECALL': 1},,-1.0,1.0,1.0,1.0,1.0,,1.0,1.0,minimal proxy,,minimal proxy,
0xdb9384f434ecddf4db9f92a5bb84a90dc2a7e34e,Solidity,OmniXBot,True,{'SSTORE': 6},,-1.0,7.0,1.0,,-1.0,,0.0,0.0,_beforeTokenTransfer,To much conditions - safemath,_beforeTokenTransfer,
