input_type,address,imitation_status_output,imitation_status_states,random_status_output,random_status_states
ethervm,0x6822aaf4ab22e6cca8352a927b9ae0a8fdb58d9d,0.6593552675307411,0.714523097374543,0.5613160518444666,0.7607178464606181
ethervm,0x686e5ac50d9236a9b7406791256e47feddb26aba,0.0,0.0,0.0,0.0
ethervm,0x68c4b7d05fae45bcb6192bb93e246c77e98360e1,0.7088733798604188,0.7088733798604188,0.43336656696576936,0.43336656696576936
ethervm,0x6c424c25e9f1fff9642cb5b7750b0db7312c29ad,0.0,0.0,0.0,0.0
ethervm,0x6d903f6003cca6255d85cca4d3b5e5146dc33925,0.99867197875166,0.999667994687915,0.795816733067729,0.9302788844621513
ethervm,0x728781e75735dc0962df3a51d7ef47e798a7107e,0.7339659685863874,0.7346204188481675,0.4443717277486911,0.4630235602094241
ethervm,0x73f09b50960f87af26ff4817a93c0f5efd0aa9e2,0.0,0.0,0.0,0.0
ethervm,0x755cdba6ae4f479f7164792b318b2a06c759833b,0.0,0.0,0.0,0.0
ethervm,0x780b6e67925e35b98b6ff8a1b2653572af73b8f9,0.0,0.0,0.0,0.0
ethervm,0x7ee41a4c66e92fe28abd5bde30ad644a2dc8b15f,0.7672955974842768,0.7328699106256207,0.6613704071499503,0.8301886792452831
